"rules" "support" "confidence" "coverage" "lift" "count"
"1494" "{Obat Penumbuh Rambut,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.00463768115942029 0.571428571428571 0.00811594202898551 7.04081632653061 16
"864" "{Sepatu Sport merk Z,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00666666666666667 0.851851851851852 0.00782608695652174 7.03083466241361 23
"2047" "{Baju Kaos Olahraga,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.00463768115942029 0.888888888888889 0.00521739130434783 7.01754385964912 16
"2091" "{Kaos,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.00840579710144928 0.568627450980392 0.0147826086956522 7.0063025210084 29
"833" "{Minyak Rambut,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00318840579710145 0.846153846153846 0.00376811594202899 6.98380566801619 11
"850" "{Sweater Top Panjang,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00318840579710145 0.846153846153846 0.00376811594202899 6.98380566801619 11
"2579" "{Baju Renang Pria Dewasa,Wedges Hitam} => {Atasan Kaos Putih}" 0.043768115942029 0.82967032967033 0.0527536231884058 6.98137228625034 151
"1620" "{Sunblock Cream,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.00405797101449275 0.56 0.0072463768115942 6.9 14
"1728" "{Sepatu Sekolah Hitam W,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.00405797101449275 0.56 0.0072463768115942 6.9 14
"2986" "{Gembok Koper,Tank Top} => {Atasan Kaos Putih}" 0.0431884057971014 0.818681318681319 0.0527536231884058 6.88890377914768 149
"2130" "{Tali Pinggang Gesper Pria,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.0197101449275362 0.871794871794872 0.0226086956521739 6.88259109311741 68
"175" "{Baju Renang Pria Anak-anak,Celana Jeans Sobek Wanita} => {Jeans Jumbo}" 0.00550724637681159 0.863636363636364 0.0063768115942029 6.88116733151375 19
"865" "{Tali Pinggang Gesper Pria,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00579710144927536 0.833333333333333 0.00695652173913043 6.87799043062201 20
"2108" "{Tank Top,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.00985507246376812 0.557377049180328 0.0176811594202899 6.86768149882904 34
"2110" "{Sweater Top Panjang,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.00956521739130435 0.868421052631579 0.0110144927536232 6.85595567867036 33
"2041" "{Koper Fiber,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.00579710144927536 0.555555555555556 0.0104347826086957 6.8452380952381 20
"2101" "{Tali Pinggang Anak,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.0130434782608696 0.865384615384615 0.0150724637681159 6.83198380566802 45
"2989" "{Gembok Koper,Tas Travel} => {Atasan Kaos Putih}" 0.0423188405797101 0.811111111111111 0.0521739130434783 6.82520325203252 146
"2113" "{Flat Shoes Ballerina,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.0104347826086957 0.553846153846154 0.0188405797101449 6.82417582417582 36
"2075" "{Baju Kaos Anak - Karakter Kartun,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.00608695652173913 0.552631578947368 0.0110144927536232 6.80921052631579 21
